"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.fr/maps/place/Nicolas+Berthier+-+Avocat+P%C3%A9naliste,+P%C3%A9nal+des+Affaires,+Dommage+corporel,+Cour+d%27assises,+Comparution+Imm%C3%A9diate,+Garde-%C3%A0-Vue/data=!4m7!3m6!1s0x12c9c0c7efc28ae3:0x6b7cb254db3fb9dc!8m2!3d43.28847!4d5.38009!16s%2Fg%2F11c1v24q5c!19sChIJ44rC78fAyRIR3Lk_21SyfGs?authuser=0&hl=fr&rclk=1","Nicolas Berthier - Avocat Pénaliste, Pénal des Affaires, Dommage corporel, Cour d'assises, Comparution Immédiate, Garde-à-Vue","5,0","(44)","Avocat pénaliste","·","22 Rue Edmond Rostand","Ouvert","· Ferme à 21:00","·","07 83 18 04 79","https://www.google.fr/aclk?sa=L&ai=DChsSEwiu8Oe1tMWSAxWmgIMHHQICKwwYACICCAEQABoCZWY&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuLmDsJShdu4lYbcUNQcdqcbI8IcFNK4URrG6UMzSYR3uWiOGeTwgShoCInIQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0bs4pGXjW_7KHfPtPjG3xgv5JhIA&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/Hazzan+David+Avocat/data=!4m7!3m6!1s0x12c9c750afce8963:0xa2ae06f956eceb5f!8m2!3d43.273656!4d5.391133!16s%2Fg%2F1tzfv9rk!19sChIJY4nOr1DHyRIRX-vsVvkGrqI?authuser=0&hl=fr&rclk=1","Hazzan David Avocat","4,6","(12)","Avocat","·","271 Avenue du Prado","Ferme bientôt","· 19:00 · Ouvre à 09:00 lun.","·","04 91 22 02 28","https://www.google.fr/aclk?sa=L&ai=DChsSEwiu8Oe1tMWSAxWmgIMHHQICKwwYACICCAEQAhoCZWY&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuE_ttEdqhsyiKdeTirN6srmOJ9tdTqvwi9v5-HiZh2m5gDwg5pE5pBoC6S8QAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1W0eBkKniklRtPR4jVbI2rq-T1Ww&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/AMG+Avocats/data=!4m7!3m6!1s0x12c9c1b240e0a14f:0xed9fab241381d94b!8m2!3d43.3051111!4d5.3674382!16s%2Fg%2F11j0qg9f6f!19sChIJT6HgQLLByRIRS9mBEySrn-0?authuser=0&hl=fr&rclk=1","AMG Avocats","4,9","(119)","Avocat","·","6 Bd de Dunkerque","Fermé","· Ouvre à 09:00 lun.","·","04 91 57 10 79","http://www.amgavocatsmarseille.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Leur expertise et leur écoute attentive ont été des atouts majeurs.""","",""
"https://www.google.fr/maps/place/L%C3%A9na+DENICOURT+Successeur+de+TRILOFF+AVOCAT+%28cabinet+ferm%C3%A9%29/data=!4m7!3m6!1s0x12c9c0b967194e4d:0x181bd4283e06cc93!8m2!3d43.3039809!4d5.3705354!16s%2Fg%2F11bwn5k_kg!19sChIJTU4ZZ7nAyRIRk8wGPijUGxg?authuser=0&hl=fr&rclk=1","Léna DENICOURT Successeur de TRILOFF AVOCAT (cabinet fermé)","4,5","(82)","Avocat","·","·","Ferme bientôt","· 19:00 · Ouvre à 09:00 lun.","Secteur République-Joliette-Euromed, 25 Rue Fauchier","04 13 94 05 88","https://www.denicourt-avocat.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Maître TRILOFF est une","avocate","compétente, humaine et à l'écoute."""
"https://www.google.fr/maps/place/XAVIER+COLAS/data=!4m7!3m6!1s0x12c9c1d1d6550517:0x1e958321838f4824!8m2!3d43.3132079!4d5.3688848!16s%2Fg%2F11rfq35nyv!19sChIJFwVV1tHByRIRJEiPgyGDlR4?authuser=0&hl=fr&rclk=1","XAVIER COLAS","4,9","(47)","Avocat","·","Résidence My Liberty, 7 Rue Pierre Guiral bâtiment B apt 131","Fermé","· Ouvre à 09:00 lun.","·","04 84 89 51 06","https://avocat-xavier-colas.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent","avocat","end droit des affaires et en réparation d'erreur médicale."""
"https://www.google.fr/maps/place/Ma%C3%AEtre+Fiona+SILES+-+Avocat+Marseille/data=!4m7!3m6!1s0x12c9c1ef3017ac09:0x79f29a8a8212c89c!8m2!3d43.3104111!4d5.3690025!16s%2Fg%2F11yxhy83g_!19sChIJCawXMO_ByRIRnMgSgoqa8nk?authuser=0&hl=fr&rclk=1","Maître Fiona SILES - Avocat Marseille","","","Avocat","·","L’Astrolabe, 79 Bd de Dunkerque","Ferme bientôt","· 19:00 · Ouvre à 09:00 lun.","·","06 14 67 58 09","","","Itinéraires","","","","","",""
"https://www.google.fr/maps/place/SUDAIX+-+Soci%C3%A9t%C3%A9+d%27Avocats/data=!4m7!3m6!1s0x12c9c10dba60bdc9:0x60e5b74e1940045f!8m2!3d43.3124489!4d5.3711012!16s%2Fg%2F11vdsbf5vx!19sChIJyb1gug3ByRIRXwRAGU635WA?authuser=0&hl=fr&rclk=1","SUDAIX - Société d'Avocats","4,9","(23)","Cabinet d'avocats","·","74 Rue de Ruffi","Fermé","· Ouvre à 09:00 lun.","·","04 12 04 74 05","https://sudaix-avocats.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Si vous cherchez un","avocat","digne de confiance il est le choix idéal."""
"https://www.google.fr/maps/place/Avocat+Virginia+Dumont+Scognamiglio/data=!4m7!3m6!1s0x12c9c0b9ea7a67d3:0x68abccfe5f77d2b0!8m2!3d43.2917103!4d5.3723225!16s%2Fg%2F11c520wxcs!19sChIJ02d66rnAyRIRsNJ3X_7Mq2g?authuser=0&hl=fr&rclk=1","Avocat Virginia Dumont Scognamiglio","4,4","(52)","Avocat spécialisé en droit immobilier","·","69 Rue Sainte","Ouvert","· Ferme à 21:00","·","06 68 97 67 06","https://www.dumontscognamiglioavocat.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Maître DUMONT-SCOGNAMIGLIO est une","avocate","très compétente et très humaine."""
