"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.fr/maps/place/Avenir+R%C3%A9novations+Marseille+02/data=!4m7!3m6!1s0x12c9edc9d439b8a7:0x46a707a925d33d85!8m2!3d43.328127!4d5.359276!16s%2Fg%2F11pd31r033!19sChIJp7g51MntyRIRhT3TJakHp0Y?authuser=0&hl=fr&rclk=1","Avenir Rénovations Marseille 02","4,9","(21)","Travaux généraux","·","Chemin de la Madrague-Ville","Ferme bientôt","· 19:00 · Ouvre à 08:00 lun.","·","04 81 68 19 96","https://www.google.fr/aclk?sa=L&ai=DChsSEwiKn9GessWSAxXhZUECHRWIBBAYACICCAEQABoCd3M&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuA4eQavWTgt3ogwT1s8PLFl_m27g5nQEQwssXyuJEgaIwoF6WN36gBoCyOoQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0OIo8dqu0FgPhAuWe2upVPGY7qsA&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/Electricien+ALXElec/data=!4m7!3m6!1s0x22a9f7d12a2a57b7:0x6d2140e82330dca4!8m2!3d43.3060592!4d5.3713521!16s%2Fg%2F11xdtpsr83!19sChIJt1cqKtH3qSIRpNwwI-hAIW0?authuser=0&hl=fr&rclk=1","Electricien ALXElec","5,0","(29)","Électricien","·","18 Rue de Forbin","Ouvert","· Ferme à 20:00","·","06 50 74 07 43","http://alxelec.com/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super","électricien",", très réactif et compétent !"""
"https://www.google.fr/maps/place/JF7+%C3%A9lectrique/data=!4m7!3m6!1s0x12c9c13b28664a91:0xcd92899e526181c0!8m2!3d43.3241766!4d5.3652713!16s%2Fg%2F11gxs1_k_c!19sChIJkUpmKDvByRIRwIFhUp6Jks0?authuser=0&hl=fr&rclk=1","JF7 électrique","4,9","(15)","Électricien","·","17 Rue André Allar H54","Ouvert","· Ferme à 20:00","·","06 51 52 79 48","https://jf7electrique.fr/?utm_source=search_google&utm_medium=profile_company_google&utm_campaign=button_page","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Service pratique.""","",""
"https://www.google.fr/maps/place/Lumi%C3%A8re+express/data=!4m7!3m6!1s0x12c9c1a191fdd6f7:0xc7c23ecf45a13eb8!8m2!3d43.3123885!4d5.3783897!16s%2Fg%2F11myf7q5x3!19sChIJ99b9kaHByRIRuD6hRc8-wsc?authuser=0&hl=fr&rclk=1","Lumière express","5,0","(2)","Électricien","·","Sq. national","Ouvert 24h/24","","·","07 51 01 48 24","https://lumiere.express/","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/MGR+AZUR+%7C+Electricien+Marseille+%7C+D%C3%A9pannage+%7C+R%C3%A9novation+%7C+%C3%89lectricit%C3%A9+g%C3%A9n%C3%A9rale/data=!4m7!3m6!1s0xa207684a0c431515:0xa600aa521de0e3b6!8m2!3d43.2893928!4d5.378321!16s%2Fg%2F11vs87kxpc!19sChIJFRVDDEpoB6IRtuPgHVKqAKY?authuser=0&hl=fr&rclk=1","MGR AZUR | Electricien Marseille | Dépannage | Rénovation | Électricité générale","5,0","(23)","Électricien","·","96 Rue Paradis","Ouvert 24h/24","","·","07 68 13 99 66","https://mgrazur.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Électriciens","très sérieux et réactifs."""
"https://www.google.fr/maps/place/FARELEC/data=!4m7!3m6!1s0x4c15ae2ddef4843d:0x31aeec74326cb8c8!8m2!3d43.2880779!4d5.3640037!16s%2Fg%2F11y12yhctn!19sChIJPYT03i2uFUwRyLhsMnTsrjE?authuser=0&hl=fr&rclk=1","FARELEC","5,0","(7)","Électricien","·","23 Rue Sauveur Tobelem","Ouvert","· Ferme à 21:00","·","07 68 16 18 40","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""j’ai eu un problème électrique et farid est top !""","",""
"https://www.google.fr/maps/place/Shahzad+Ahmad+Electricien/data=!4m7!3m6!1s0x4d977aa4a7235165:0x164fe10d3345269a!8m2!3d43.3046391!4d5.3895209!16s%2Fg%2F11t88yy9tg!19sChIJZVEjp6R6l00RmiZFMw3hTxY?authuser=0&hl=fr&rclk=1","Shahzad Ahmad Electricien","5,0","(32)","Électricien","·","5 Bd Camille Flammarion Bat3","Fermé","· Ouvre à 09:30 sam.","·","07 83 47 76 76","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Electricien","tres sérieux, serviable et reactif ."""
"https://www.google.fr/maps/place/olivier+depan%27elec+et+conseil/data=!4m7!3m6!1s0x12c9c18bba447a27:0xa4a1b625c6012099!8m2!3d43.2966654!4d5.3934077!16s%2Fg%2F11wtcb8jjv!19sChIJJ3pEuovByRIRmSABxiW2oaQ?authuser=0&hl=fr&rclk=1","olivier depan'elec et conseil","5,0","(30)","Électricien","·","19 Rue de l'Église Saint-Michel","Ferme bientôt","· 19:00 · Ouvre à 08:00 lun.","·","07 61 78 51 08","https://www.depanelec.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nous avons fait appel à Olivier Depan'elec après l'achat de notre maison.""","",""
