"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 7","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.fr/maps/place/Suzuki+Japasud+Marseille/data=!4m7!3m6!1s0x12c9b8ac6b955555:0x22349164f968dbb8!8m2!3d43.276051!4d5.400254!16s%2Fg%2F1td8fl3h!19sChIJVVWVa6y4yRIRuNto-WSRNCI?authuser=0&hl=fr&rclk=1","Suzuki Japasud Marseille","4,7","(344)","Concessionnaire automobile","·","4 Boulevard des Aciéries","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","·","04 91 17 71 17","https://www.google.fr/aclk?sa=L&ai=DChsSEwjK-4rdscWSAxXfomgJHYMENwAYACICCAEQAhoCd2Y&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuFTlEIJEOMET_61p7kHgKCuGqYoSLxt6gr4bVzRKjex8EJ7QOh7XOxoCTgQQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0FYbCZBGlDeqdkMA-2r1xD96Xg8g&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","https://ssl.gstatic.com/images/icons/material/system/2x/close_gm_red600_24dp.png","Livraison","","","",""
"https://www.google.fr/maps/place/Feu+Vert/data=!4m7!3m6!1s0x12c9ea7e76cd4e0d:0x2cd3dbfeff558249!8m2!3d43.36247!4d5.349424!16s%2Fg%2F11b6dp0fzm!19sChIJDU7Ndn7qyRIRSYJV__7b0yw?authuser=0&hl=fr&rclk=1","Feu Vert","3,8","(1 530)","Garage automobile","·","11 Avenue de saint antoine","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","·","04 91 65 87 80","https://www.google.fr/aclk?sa=L&ai=DChsSEwjK-4rdscWSAxXfomgJHYMENwAYACICCAEQCRoCd2Y&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuCgs75opCm6RRaNmHh4w7RByaWJzjZdCyDwGwdg1F3X1f2-9fI4SEhoCx1AQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_01mPmsBe6XUGgSgDDjXShgpheH6w&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","","","","","",""
"https://www.google.fr/maps/place/Garage+MARCEAU/data=!4m7!3m6!1s0x12c9c19800ba9fb7:0x71702df22a424d3d!8m2!3d43.3051044!4d5.3739212!16s%2Fg%2F11m__y5s29!19sChIJt5-6AJjByRIRPU1CKvItcHE?authuser=0&hl=fr&rclk=1","Garage MARCEAU","4,4","(109)","Garage automobile","·","·","18 Pl. Marceau","Ouvert","· Ferme à 20:30","06 75 67 28 19","https://www.vroomly.com/garages/garage-marceau-13003-marceau/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super","","·","garage",", transparent et bon prix"""
"https://www.google.fr/maps/place/Garage+de+l%27%C3%A9v%C3%AAch%C3%A9/data=!4m7!3m6!1s0x12c9c0e9edbbbee7:0x7cd2662c8a34269a!8m2!3d43.3017071!4d5.3672576!16s%2Fg%2F11ckwf56mb!19sChIJ57677enAyRIRmiY0iixm0nw?authuser=0&hl=fr&rclk=1","Garage de l'évêché","4,8","(42)","Atelier de mécanique automobile","·","·","96 Rue de l'Évêché","Fermé","· Ouvre à 08:00 lun.","04 91 91 86 17","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... pour prendre rdv, il y a un peu d'attente car c'est un petit","","·","garage","."""
"https://www.google.fr/maps/place/Garage+des+Dames/data=!4m7!3m6!1s0x12c9c0eafc2db469:0xc33d4f31541b38d3!8m2!3d43.3023624!4d5.3708446!16s%2Fg%2F1tsyxr5p!19sChIJabQt_OrAyRIR0zgbVDFPPcM?authuser=0&hl=fr&rclk=1","Garage des Dames","4,9","(63)","Atelier de réparation automobile","·","·","48 Bd des Dames","Fermé","· Ouvre à 08:00 lun.","04 91 90 02 90","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super","","·","garage",", personnel arrangeant et efficace !"""
"https://www.google.fr/maps/place/New+Station+Vieux+Port+-+Garage+Marseille/data=!4m7!3m6!1s0x12c9c0c1621d22b7:0x6b3a3184b517fe48!8m2!3d43.2971!4d5.36802!16s%2Fg%2F1vk4r158!19sChIJtyIdYsHAyRIRSP4XtYQxOms?authuser=0&hl=fr&rclk=1","New Station Vieux Port - Garage Marseille","3,6","(87)","Garage automobile","·","·","20 Rue Caisserie","","","04 82 29 60 05","https://station-du-vieux-port.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Très serviable station service de proximité bien pratique je recommande""","","·","",""
"https://www.google.fr/maps/place/Garage+des+Tyrans/data=!4m7!3m6!1s0x12c9c0c637e52c6b:0x907b50d3be301d18!8m2!3d43.2916866!4d5.3697886!16s%2Fg%2F11b6dqzfpc!19sChIJayzlN8bAyRIRGB0wvtNQe5A?authuser=0&hl=fr&rclk=1","Garage des Tyrans","4,3","(16)","Atelier de réparation automobile","·","·","4 Rue des Tyrans","Ferme bientôt","· 18:30 · Ouvre à 08:15 lun.","","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""C'est un vrai professionnel et passionné dans son milieu.""","","","",""
"https://www.google.fr/maps/place/Provence+Bleu+Garage+Auto/data=!4m7!3m6!1s0x12c9c1b560e1e171:0x15baeefd244d02a5!8m2!3d43.3327126!4d5.3589667!16s%2Fg%2F11vszf8y93!19sChIJceHhYLXByRIRpQJNJP3uuhU?authuser=0&hl=fr&rclk=1","Provence Bleu Garage Auto","5,0","(2)","Atelier de mécanique automobile","·","250 Chem. de la Madrague-Ville","·","Ouvert","· Ferme à 20:00","06 05 69 87 36","https://www.facebook.com/profile.php?id=61556586663372","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Personnelles très professionnel je recommande fortement 🙏""","","","",""
