"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.fr/maps/place/Jonakey%E2%80%99s/data=!4m7!3m6!1s0xae380291cb1d896f:0x9507de328955e149!8m2!3d43.269442!4d5.381187!16s%2Fg%2F11x2gx85ds!19sChIJb4kdy5ECOK4RSeFViTLeB5U?authuser=0&hl=fr&rclk=1","Jonakey’s","5,0","(20)","Serrurier","·","122 Rue du Commandant Rolland","Ouvert","· Ferme à 00:00","·","07 60 29 19 11","https://www.google.fr/aclk?sa=L&ai=DChsSEwiWlt29r8WSAxW-sIMHHQ1UOVgYACICCAEQABoCZWY&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuJ4dFOqfGNFw4wSv4na7Wa9K33wLD2Z6-hKUjlsn5mDQQKJA28W1YRoC5EQQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2hGVlEjTsRcWzX6S8XGsd0YivKGg&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/TS+Serrurerie/data=!4m7!3m6!1s0xd95897218cf2073:0xdad720dc40b5aeee!8m2!3d43.267921!4d5.427904!16s%2Fg%2F11vypbxrvb!19sChIJcyDPGHKJlQ0R7q61QNwg19o?authuser=0&hl=fr&rclk=1","TS Serrurerie","4,8","(21)","Serrurier","·","161 Rue François Mauriac","Ouvert","· Ferme à 00:00","·","07 67 04 29 50","https://www.google.fr/aclk?sa=L&ai=DChsSEwiWlt29r8WSAxW-sIMHHQ1UOVgYACICCAEQAhoCZWY&co=1&ase=2&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuFt-U_nOmWyfJ0rEhZBFeySI-NCtSiodttPNBYwBLpc64t_cGZKsSxoC6N4QAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3OtyBtOBFp4IFHfE5tddCfiglezg&adurl&q&ctype=99&nis=6","","Site Web","","Itinéraires","","","",""
"https://www.google.fr/maps/place/SERRURIER+MARSEILLE+ODP+HABITAT+%F0%9F%94%91/data=!4m7!3m6!1s0x6584b46d9e8d4cb3:0xbbcc4c1d6568780f!8m2!3d43.302069!4d5.3702841!16s%2Fg%2F11w7zxqcsx!19sChIJs0yNnm20hGURD3hoZR1MzLs?authuser=0&hl=fr&rclk=1","SERRURIER MARSEILLE ODP HABITAT 🔑","5,0","(109)","Serrurier","·","25 Bd des Dames","Ouvert 24h/24","·","","07 78 31 23 13","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Intervention rapide et efficace avec","serrurier","sympathique et honnête."""
"https://www.google.fr/maps/place/%F0%9F%94%91%F0%9F%9A%97+EXPERT-CLE-AUTO:+Serrurier+Automobile+%E2%AD%90%EF%B8%8F/data=!4m7!3m6!1s0x4796c9e4b3602091:0x4627700ed21c3554!8m2!3d43.3148392!4d5.3755801!16s%2Fg%2F11k3kwqbrz!19sChIJkSBgs-TJlkcRVDUc0g5wJ0Y?authuser=0&hl=fr&rclk=1","🔑🚗 EXPERT-CLE-AUTO: Serrurier Automobile ⭐️","5,0","(433)","Serrurier","·","50 Rue Félix Pyat13003, Rue de chaussé","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","·","07 45 42 72 78","https://expertcleauto.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Service excellent changement réparation des clefs, ultra rapide et parfait""","",""
"https://www.google.fr/maps/place/SERRURIER+MARSEILLE+DIRECT+-+Serrurier+Marseille+Pas+Cher+-+D%C3%A9pannage+Serrurerie+Urgence+24%2F24+7%2F7/data=!4m7!3m6!1s0x40a710ce710c9733:0xb8d40ba96a6b7e18!8m2!3d43.2804689!4d5.3806472!16s%2Fg%2F11rz4qcwzz!19sChIJM5cMcc4Qp0ARGH5raqkL1Lg?authuser=0&hl=fr&rclk=1","SERRURIER MARSEILLE DIRECT - Serrurier Marseille Pas Cher - Dépannage Serrurerie Urgence 24/24 7/7","5,0","(707)","Serrurier","","·","Ouvert 24h/24","","","07 43 67 03 90","https://serrurier-marseille-direct-urgence.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super","serrurier",", intervenu rapidement en pleine nuit, sans majoration"""
"https://www.google.fr/maps/place/ACP+Artisan/data=!4m7!3m6!1s0x8206b06165d38eb5:0x384ff80be13aab3c!8m2!3d45.1259625!4d5.4907198!16s%2Fg%2F11p5fwxnb0!19sChIJtY7TZWGwBoIRPKs64Qv4Tzg?authuser=0&hl=fr&rclk=1","ACP Artisan","3,8","(86)","Service de serrurerie d'urgence","","·","Ouvert 24h/24","","","04 82 29 83 24","https://depanneur-express.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Superbe vitesse d'intervention malgré l'heure tardive.""","",""
"https://www.google.fr/maps/place/Bricard+Vachette+Serrurerie+de+la+R%C3%A9publique+serrurier+menuisier+porte+blind%C3%A9e+badge+immeuble+reproduction+de+cl%C3%A9s/data=!4m7!3m6!1s0x12c9c0ea9d7a9047:0x6f17c84d3211c1f5!8m2!3d43.3001654!4d5.3713559!16s%2Fg%2F1tcwyt4y!19sChIJR5B6nerAyRIR9cERMk3IF28?authuser=0&hl=fr&rclk=1","Bricard Vachette Serrurerie de la République serrurier menuisier porte blindée badge immeuble reproduction de clés","4,5","(23)","Service de reproduction de clés","·","48 Rue de la République","Fermé","· Ouvre à 09:00 lun.","·","04 91 90 51 65","https://serrurerierepubliq.wixsite.com/website","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rapide, efficace et extrêmement aimable (pour faire un double de clés)""","",""
"https://www.google.fr/maps/place/Histoire+De+la+Serrure+Pro/data=!4m7!3m6!1s0x12c9c142e1292ff9:0xa82252ee6212addd!8m2!3d43.2912827!4d5.3582616!16s%2Fg%2F11mkncz3lp!19sChIJ-S8p4ULByRIR3a0SYu5SIqg?authuser=0&hl=fr&rclk=1","Histoire De la Serrure Pro","5,0","(39)","Cordonnier","·","7 Rue de Suez","Ouvert 24h/24","","·","07 81 41 63 22","https://www.histoiredelaserrure.fr/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Très bon","serrurier","très pro avec des tarifs tout à fait cohérents"""
